observation_date,us,euro area,japan
01/01/1998,60.44699,68.19124702,80.47828377
01/01/1999,58.20164,64.90057546,90.65379413
01/01/2000,54.90905,63.73910528,98.93382307
01/01/2001,54.52598,62.25759186,102.846758
01/01/2002,56.7146,63.19690413,111.8762497
01/01/2003,59.00606,62.91925489,121.9153209
01/01/2004,60.19957,63.61060837,127.5476298
01/01/2005,60.6272,64.38364731,128.2074929
01/01/2006,61.17295,60.80022723,128.5996679
01/01/2007,61.83888,57.85540259,132.2220465
01/01/2008,67.61133,62.74324519,138.5742742
01/01/2009,82.02683,71.68240135,156.9844853
01/01/2010,89.89851,75.34093906,160.4980984
01/01/2011,94.64393,76.03928813,175.5676412
01/01/2012,98.75064,86.61541408,183.7062093
01/01/2013,99.04457,89.34033921,186.5642973
01/01/2014,101.05839,95.65735159,192.1128503
01/01/2015,99.0439,93.22320219,194.5840612
01/01/2016,103.90636,93.14195961,193.2304378
01/01/2017,103.02669,90.90307411,193.4891597
01/01/2018,103.90087,88.735754,197.3356094
01/01/2019,105.24382,90.37757831,198.0103092
01/01/2020,125.85799,107.6639819,215.8203897
01/01/2021,119.641,101.9229043,216.1350054
01/01/2022,118.36138,85.2910314,215.9063596
,,,
,,,
,,,
